operon,number,start,end,gene,strand,direction,strain,CDS_identifier,hamburger_CDS_identifier
NC_002516_i1,4,3616,4023,TssE,forward,1,NC_002516_i1,IIJBHIFF_00009,NC_002516_i1_9
NC_002516_i1,5,4034,4357,Non-model,forward,1,NC_002516_i1,IIJBHIFF_00010,NC_002516_i1_10
NC_002516_i1,6,4361,6148,TssF,forward,1,NC_002516_i1,IIJBHIFF_00011,NC_002516_i1_11
NC_002516_i1,7,6112,7119,TssG,forward,1,NC_002516_i1,IIJBHIFF_00012,NC_002516_i1_12
NC_002516_i1,8,7132,9759,TssH,forward,1,NC_002516_i1,IIJBHIFF_00013,NC_002516_i1_13
NC_002516_i1,9,9770,11281,Non-model,forward,1,NC_002516_i1,IIJBHIFF_00014,NC_002516_i1_14
NC_002516_i1,10,11370,11510,Non-model,forward,1,NC_002516_i1,IIJBHIFF_00015,NC_002516_i1_15
NC_002516_i1,11,11528,12721,Non-model,forward,1,NC_002516_i1,IIJBHIFF_00016,NC_002516_i1_16
NC_002516_i1,12,12727,13233,TssJ,forward,1,NC_002516_i1,IIJBHIFF_00017,NC_002516_i1_17
NC_002516_i1,13,13230,14561,TssK,forward,1,NC_002516_i1,IIJBHIFF_00018,NC_002516_i1_18
NC_002516_i1,14,14564,15433,TssL,forward,1,NC_002516_i1,IIJBHIFF_00019,NC_002516_i1_19
NC_002516_i1,15,15449,18976,TssM,forward,1,NC_002516_i1,IIJBHIFF_00020,NC_002516_i1_20
NC_002516_i3,1,1354,2688,TssK,reverse,-1,NC_002516_i3,OEFODJFL_00009,NC_002516_i3_9
NC_002516_i3,2,2704,3168,TssJ,reverse,-1,NC_002516_i3,OEFODJFL_00010,NC_002516_i3_10
NC_002516_i3,3,3213,4706,Non-model,reverse,-1,NC_002516_i3,OEFODJFL_00011,NC_002516_i3_11
NC_002516_i3,4,5074,6108,TssA,forward,1,NC_002516_i3,OEFODJFL_00012,NC_002516_i3_12
NC_002516_i3,5,6197,6715,TssB,forward,1,NC_002516_i3,OEFODJFL_00013,NC_002516_i3_13
NC_002516_i3,6,6728,8224,TssC,forward,1,NC_002516_i3,OEFODJFL_00014,NC_002516_i3_14
NC_002516_i3,7,8300,8788,TssD,forward,1,NC_002516_i3,OEFODJFL_00015,NC_002516_i3_15
NC_002516_i3,8,9016,9801,Non-model,forward,1,NC_002516_i3,OEFODJFL_00016,NC_002516_i3_16
NC_002516_i3,9,9803,10312,TssE,forward,1,NC_002516_i3,OEFODJFL_00017,NC_002516_i3_17
NC_002516_i3,10,10309,12168,TssF,forward,1,NC_002516_i3,OEFODJFL_00018,NC_002516_i3_18
NC_002516_i3,11,12132,13178,TssG,forward,1,NC_002516_i3,OEFODJFL_00019,NC_002516_i3_19
NC_002516_i3,12,13171,15879,TssH,forward,1,NC_002516_i3,OEFODJFL_00020,NC_002516_i3_20
NC_002516_i3,13,15917,17857,TssI,forward,1,NC_002516_i3,OEFODJFL_00021,NC_002516_i3_21
NC_002516_i3,14,17972,18256,Non-model,reverse,-1,NC_002516_i3,OEFODJFL_00022,NC_002516_i3_22
NC_002516_i3,15,18253,19545,Non-model,reverse,-1,NC_002516_i3,OEFODJFL_00023,NC_002516_i3_23
NC_002516_i3,16,19561,19995,Non-model,reverse,-1,NC_002516_i3,OEFODJFL_00024,NC_002516_i3_24
NC_002516_i3,17,20249,22474,TssI,forward,1,NC_002516_i3,OEFODJFL_00025,NC_002516_i3_25
NC_002516_i4a,1,1,1101,TssA,reverse,-1,NC_002516_i4a,FJDLALAM_00008,NC_002516_i4a_8
NC_002516_i4a,2,1098,4913,TssM,reverse,-1,NC_002516_i4a,FJDLALAM_00009,NC_002516_i4a_9
NC_002516_i4a,3,4910,5668,TssL,reverse,-1,NC_002516_i4a,FJDLALAM_00010,NC_002516_i4a_10
NC_002516_i4a,4,5686,7017,TssK,reverse,-1,NC_002516_i4a,FJDLALAM_00011,NC_002516_i4a_11
NC_002516_i4a,5,7077,7553,Non-model,reverse,-1,NC_002516_i4a,FJDLALAM_00012,NC_002516_i4a_12
NC_002516_i4a,6,7762,8307,TssB,forward,1,NC_002516_i4a,FJDLALAM_00013,NC_002516_i4a_13
NC_002516_i4a,7,8330,9814,TssC,forward,1,NC_002516_i4a,FJDLALAM_00014,NC_002516_i4a_14
NC_002516_i4a,8,9888,10385,TssD,forward,1,NC_002516_i4a,FJDLALAM_00015,NC_002516_i4a_15
NC_002516_i4a,9,10398,10823,TssE,forward,1,NC_002516_i4a,FJDLALAM_00016,NC_002516_i4a_16
NC_002516_i4a,10,10807,12600,TssF,forward,1,NC_002516_i4a,FJDLALAM_00017,NC_002516_i4a_17
NC_002516_i4a,11,12564,13580,TssG,forward,1,NC_002516_i4a,FJDLALAM_00018,NC_002516_i4a_18
NC_002516_i4a,12,13582,16131,TssH,forward,1,NC_002516_i4a,FJDLALAM_00019,NC_002516_i4a_19
NC_002516_i4a,13,16153,16725,Non-model,forward,1,NC_002516_i4a,FJDLALAM_00020,NC_002516_i4a_20
NC_002516_i4a,14,16885,17073,Non-model,forward,1,NC_002516_i4a,FJDLALAM_00021,NC_002516_i4a_21
NC_002516_i4a,15,17073,19079,TssI,forward,1,NC_002516_i4a,FJDLALAM_00022,NC_002516_i4a_22
NC_002927_i3,1,1,2364,TssI,forward,1,NC_002927_i3,KGPMDDDA_00007,NC_002927_i3_7
NC_002927_i3,2,2381,2794,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00008,NC_002927_i3_8
NC_002927_i3,3,2791,5415,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00009,NC_002927_i3_9
NC_002927_i3,4,5405,6466,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00010,NC_002927_i3_10
NC_002927_i3,5,6497,7405,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00011,NC_002927_i3_11
NC_002927_i3,6,7386,8006,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00012,NC_002927_i3_12
NC_002927_i3,7,8418,9458,TssA,forward,1,NC_002927_i3,KGPMDDDA_00013,NC_002927_i3_13
NC_002927_i3,8,9501,10064,TssB,forward,1,NC_002927_i3,KGPMDDDA_00014,NC_002927_i3_14
NC_002927_i3,9,10086,11588,TssC,forward,1,NC_002927_i3,KGPMDDDA_00015,NC_002927_i3_15
NC_002927_i3,10,11658,12131,TssD,forward,1,NC_002927_i3,KGPMDDDA_00016,NC_002927_i3_16
NC_002927_i3,11,12181,12990,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00017,NC_002927_i3_17
NC_002927_i3,12,12987,13505,TssE,forward,1,NC_002927_i3,KGPMDDDA_00018,NC_002927_i3_18
NC_002927_i3,13,13505,15418,TssF,forward,1,NC_002927_i3,KGPMDDDA_00019,NC_002927_i3_19
NC_002927_i3,14,15453,16112,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00020,NC_002927_i3_20
NC_002927_i3,15,16115,17203,TssG,forward,1,NC_002927_i3,KGPMDDDA_00021,NC_002927_i3_21
NC_002927_i3,16,17200,17733,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00022,NC_002927_i3_22
NC_002927_i3,17,17723,18100,Non-model,forward,1,NC_002927_i3,KGPMDDDA_00023,NC_002927_i3_23
NC_002927_i3,18,18124,20733,TssH,forward,1,NC_002927_i3,KGPMDDDA_00024,NC_002927_i3_24
NC_002927_i3,19,20832,21632,Non-model,reverse,-1,NC_002927_i3,KGPMDDDA_00025,NC_002927_i3_25
NC_002927_i3,20,21660,22055,Non-model,reverse,-1,NC_002927_i3,KGPMDDDA_00026,NC_002927_i3_26
NC_002927_i3,21,22305,22862,TssJ,forward,1,NC_002927_i3,KGPMDDDA_00027,NC_002927_i3_27
NC_002927_i3,22,22908,24242,TssK,forward,1,NC_002927_i3,KGPMDDDA_00028,NC_002927_i3_28
NC_002927_i3,23,24263,25543,TssL,forward,1,NC_002927_i3,KGPMDDDA_00029,NC_002927_i3_29
NC_002927_i3,24,25540,29145,TssM,forward,1,NC_002927_i3,KGPMDDDA_00030,NC_002927_i3_30
NC_002947_2_i1,1,1,3627,TssM,reverse,-1,NC_002947_2_i1,ODCFAKME_00006,NC_002947_2_i1_6
NC_002947_2_i1,2,3624,5090,TssA,reverse,-1,NC_002947_2_i1,ODCFAKME_00007,NC_002947_2_i1_7
NC_002947_2_i1,3,5078,5710,Non-model,reverse,-1,NC_002947_2_i1,ODCFAKME_00008,NC_002947_2_i1_8
NC_002947_2_i1,4,5985,6488,TssB,forward,1,NC_002947_2_i1,ODCFAKME_00009,NC_002947_2_i1_9
NC_002947_2_i1,5,6506,7792,TssC,forward,1,NC_002947_2_i1,ODCFAKME_00010,NC_002947_2_i1_10
NC_002947_2_i1,6,7990,8400,TssE,forward,1,NC_002947_2_i1,ODCFAKME_00011,NC_002947_2_i1_11
NC_002947_2_i1,7,8404,10170,TssF,forward,1,NC_002947_2_i1,ODCFAKME_00012,NC_002947_2_i1_12
NC_002947_2_i1,8,10134,11150,TssG,forward,1,NC_002947_2_i1,ODCFAKME_00013,NC_002947_2_i1_13
NC_002947_2_i1,9,11147,11944,TssJ,forward,1,NC_002947_2_i1,ODCFAKME_00014,NC_002947_2_i1_14
NC_002947_2_i1,10,11994,13331,TssK,forward,1,NC_002947_2_i1,ODCFAKME_00015,NC_002947_2_i1_15
NC_002947_2_i1,11,13333,14208,TssL,forward,1,NC_002947_2_i1,ODCFAKME_00016,NC_002947_2_i1_16
NC_002947_2_i1,12,14342,14857,TssD,forward,1,NC_002947_2_i1,ODCFAKME_00017,NC_002947_2_i1_17
NC_002947_2_i1,13,14932,15909,TssI,forward,1,NC_002947_2_i1,ODCFAKME_00018,NC_002947_2_i1_18
NC_002947_2_i1,14,16110,16916,TssI,forward,1,NC_002947_2_i1,ODCFAKME_00019,NC_002947_2_i1_19
NC_002947_i1,1,1,2169,TssI,reverse,-1,NC_002947_i1,FCPIFLHD_00005,NC_002947_i1_5
NC_002947_i1,2,2244,2759,TssD,reverse,-1,NC_002947_i1,FCPIFLHD_00006,NC_002947_i1_6
NC_002947_i1,3,2893,3762,TssL,reverse,-1,NC_002947_i1,FCPIFLHD_00007,NC_002947_i1_7
NC_002947_i1,4,3764,5101,TssK,reverse,-1,NC_002947_i1,FCPIFLHD_00008,NC_002947_i1_8
NC_002947_i1,5,5157,5954,TssJ,reverse,-1,NC_002947_i1,FCPIFLHD_00009,NC_002947_i1_9
NC_002947_i1,6,5951,6520,Non-model,reverse,-1,NC_002947_i1,FCPIFLHD_00010,NC_002947_i1_10
NC_002947_i1,7,6517,7533,TssG,reverse,-1,NC_002947_i1,FCPIFLHD_00011,NC_002947_i1_11
NC_002947_i1,8,7497,9263,TssF,reverse,-1,NC_002947_i1,FCPIFLHD_00012,NC_002947_i1_12
NC_002947_i1,9,9267,9677,TssE,reverse,-1,NC_002947_i1,FCPIFLHD_00013,NC_002947_i1_13
NC_002947_i1,10,9674,11164,TssC,reverse,-1,NC_002947_i1,FCPIFLHD_00014,NC_002947_i1_14
NC_002947_i1,11,11182,11685,TssB,reverse,-1,NC_002947_i1,FCPIFLHD_00015,NC_002947_i1_15
NC_002947_i1,12,12012,12662,Non-model,forward,1,NC_002947_i1,FCPIFLHD_00016,NC_002947_i1_16
NC_002947_i1,13,12650,14113,TssA,forward,1,NC_002947_i1,FCPIFLHD_00017,NC_002947_i1_17
NC_002947_i1,14,14110,17730,TssM,forward,1,NC_002947_i1,FCPIFLHD_00018,NC_002947_i1_18
NC_002947_i4b,1,1,1086,TssA,reverse,-1,NC_002947_i4b,IMLKJIJE_00005,NC_002947_i4b_5
NC_002947_i4b,2,1182,1700,TssD,reverse,-1,NC_002947_i4b,IMLKJIJE_00006,NC_002947_i4b_6
NC_002947_i4b,3,1844,4339,TssM,reverse,-1,NC_002947_i4b,IMLKJIJE_00007,NC_002947_i4b_7
NC_002947_i4b,4,4336,5244,Non-model,reverse,-1,NC_002947_i4b,IMLKJIJE_00008,NC_002947_i4b_8
NC_002947_i4b,5,5241,9044,TssM,reverse,-1,NC_002947_i4b,IMLKJIJE_00009,NC_002947_i4b_9
NC_002947_i4b,6,9075,9791,TssL,reverse,-1,NC_002947_i4b,IMLKJIJE_00010,NC_002947_i4b_10
NC_002947_i4b,7,9788,11131,TssK,reverse,-1,NC_002947_i4b,IMLKJIJE_00011,NC_002947_i4b_11
NC_002947_i4b,8,11128,11850,TssJ,reverse,-1,NC_002947_i4b,IMLKJIJE_00012,NC_002947_i4b_12
NC_002947_i4b,9,11875,14472,TssH,reverse,-1,NC_002947_i4b,IMLKJIJE_00013,NC_002947_i4b_13
NC_002947_i4b,10,14469,15539,TssG,reverse,-1,NC_002947_i4b,IMLKJIJE_00014,NC_002947_i4b_14
NC_002947_i4b,11,15503,17323,TssF,reverse,-1,NC_002947_i4b,IMLKJIJE_00015,NC_002947_i4b_15
NC_002947_i4b,12,17323,17805,TssE,reverse,-1,NC_002947_i4b,IMLKJIJE_00016,NC_002947_i4b_16
NC_002947_i4b,13,17832,19334,TssC,reverse,-1,NC_002947_i4b,IMLKJIJE_00017,NC_002947_i4b_17
NC_002947_i4b,14,19349,19888,TssB,reverse,-1,NC_002947_i4b,IMLKJIJE_00018,NC_002947_i4b_18
NC_003063_i5,1,1,3480,TssM,reverse,-1,NC_003063_i5,HANIDHCK_00001,NC_003063_i5_1
NC_003063_i5,2,3477,4982,TssL,reverse,-1,NC_003063_i5,HANIDHCK_00002,NC_003063_i5_2
NC_003063_i5,3,4979,6283,TssK,reverse,-1,NC_003063_i5,HANIDHCK_00003,NC_003063_i5_3
NC_003063_i5,4,6309,7508,Non-model,reverse,-1,NC_003063_i5,HANIDHCK_00004,NC_003063_i5_4
NC_003063_i5,5,7519,8523,TssG,reverse,-1,NC_003063_i5,HANIDHCK_00005,NC_003063_i5_5
NC_003063_i5,6,8533,10314,TssF,reverse,-1,NC_003063_i5,HANIDHCK_00006,NC_003063_i5_6
NC_003063_i5,7,10307,10816,TssE,reverse,-1,NC_003063_i5,HANIDHCK_00007,NC_003063_i5_7
NC_003063_i5,8,10809,11633,Non-model,reverse,-1,NC_003063_i5,HANIDHCK_00008,NC_003063_i5_8
NC_003063_i5,9,11630,13024,TssC,reverse,-1,NC_003063_i5,HANIDHCK_00009,NC_003063_i5_9
NC_003063_i5,10,13079,14560,TssC,reverse,-1,NC_003063_i5,HANIDHCK_00010,NC_003063_i5_10
NC_003063_i5,11,14654,15163,TssB,reverse,-1,NC_003063_i5,HANIDHCK_00011,NC_003063_i5_11
NC_003063_i5,12,15229,16284,TssA,reverse,-1,NC_003063_i5,HANIDHCK_00012,NC_003063_i5_12
NC_003063_i5,13,16505,19183,TssH,forward,1,NC_003063_i5,HANIDHCK_00013,NC_003063_i5_13
NC_003063_i5,14,19241,19717,TssD,forward,1,NC_003063_i5,HANIDHCK_00014,NC_003063_i5_14
NC_003063_i5,15,19824,20213,Non-model,forward,1,NC_003063_i5,HANIDHCK_00015,NC_003063_i5_15
NC_003063_i5,16,20225,20725,Non-model,forward,1,NC_003063_i5,HANIDHCK_00016,NC_003063_i5_16
NC_003063_i5,17,20740,23190,TssI,forward,1,NC_003063_i5,HANIDHCK_00017,NC_003063_i5_17
NC_003143_i3,1,1,987,TssA,forward,1,NC_003143_i3,IIGAGAAM_00005,NC_003143_i3_5
NC_003143_i3,2,998,1558,TssB,forward,1,NC_003143_i3,IIGAGAAM_00006,NC_003143_i3_6
NC_003143_i3,3,1558,3069,TssC,forward,1,NC_003143_i3,IIGAGAAM_00007,NC_003143_i3_7
NC_003143_i3,4,3232,3750,TssD,forward,1,NC_003143_i3,IIGAGAAM_00008,NC_003143_i3_8
NC_003143_i3,5,3824,4267,TssE,forward,1,NC_003143_i3,IIGAGAAM_00009,NC_003143_i3_9
NC_003143_i3,6,4300,6144,TssF,forward,1,NC_003143_i3,IIGAGAAM_00010,NC_003143_i3_10
NC_003143_i3,7,6137,7120,TssG,forward,1,NC_003143_i3,IIGAGAAM_00011,NC_003143_i3_11
NC_003143_i3,8,7138,9726,TssH,forward,1,NC_003143_i3,IIGAGAAM_00012,NC_003143_i3_12
NC_003143_i3,9,9830,12178,TssI,forward,1,NC_003143_i3,IIGAGAAM_00013,NC_003143_i3_13
NC_003143_i3,10,12191,12763,Non-model,forward,1,NC_003143_i3,IIGAGAAM_00014,NC_003143_i3_14
NC_003143_i3,11,12821,14410,Non-model,forward,1,NC_003143_i3,IIGAGAAM_00015,NC_003143_i3_15
NC_003143_i3,12,14436,15539,Non-model,forward,1,NC_003143_i3,IIGAGAAM_00016,NC_003143_i3_16
NC_003143_i3,13,15532,16149,Non-model,forward,1,NC_003143_i3,IIGAGAAM_00017,NC_003143_i3_17
NC_003143_i3,14,16155,16520,Non-model,forward,1,NC_003143_i3,IIGAGAAM_00018,NC_003143_i3_18
NC_003143_i3,15,16513,17004,TssJ,forward,1,NC_003143_i3,IIGAGAAM_00019,NC_003143_i3_19
NC_003143_i3,16,17124,18479,TssK,forward,1,NC_003143_i3,IIGAGAAM_00020,NC_003143_i3_20
NC_003143_i3,17,18476,20086,TssL,forward,1,NC_003143_i3,IIGAGAAM_00021,NC_003143_i3_21
NC_003143_i3,18,20148,23588,TssM,forward,1,NC_003143_i3,IIGAGAAM_00022,NC_003143_i3_22
NC_003296_i4b,1,1,2697,TssI,reverse,-1,NC_003296_i4b,LKCFCGBD_00001,NC_003296_i4b_1
NC_003296_i4b,2,2756,3547,TssL,reverse,-1,NC_003296_i4b,LKCFCGBD_00002,NC_003296_i4b_2
NC_003296_i4b,3,3544,4890,TssK,reverse,-1,NC_003296_i4b,LKCFCGBD_00003,NC_003296_i4b_3
NC_003296_i4b,4,4934,5608,TssJ,reverse,-1,NC_003296_i4b,LKCFCGBD_00004,NC_003296_i4b_4
NC_003296_i4b,5,5883,6530,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00005,NC_003296_i4b_5
NC_003296_i4b,6,6567,7079,TssB,forward,1,NC_003296_i4b,LKCFCGBD_00006,NC_003296_i4b_6
NC_003296_i4b,7,7072,8562,TssC,forward,1,NC_003296_i4b,LKCFCGBD_00007,NC_003296_i4b_7
NC_003296_i4b,8,8651,9154,TssD,forward,1,NC_003296_i4b,LKCFCGBD_00008,NC_003296_i4b_8
NC_003296_i4b,9,9215,9688,TssE,forward,1,NC_003296_i4b,LKCFCGBD_00009,NC_003296_i4b_9
NC_003296_i4b,10,9751,11601,TssF,forward,1,NC_003296_i4b,LKCFCGBD_00010,NC_003296_i4b_10
NC_003296_i4b,11,11565,12656,TssG,forward,1,NC_003296_i4b,LKCFCGBD_00011,NC_003296_i4b_11
NC_003296_i4b,12,12689,15406,TssH,forward,1,NC_003296_i4b,LKCFCGBD_00012,NC_003296_i4b_12
NC_003296_i4b,13,15427,18183,TssI,forward,1,NC_003296_i4b,LKCFCGBD_00013,NC_003296_i4b_13
NC_003296_i4b,14,18201,19334,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00014,NC_003296_i4b_14
NC_003296_i4b,15,19312,22089,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00015,NC_003296_i4b_15
NC_003296_i4b,16,22336,23208,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00016,NC_003296_i4b_16
NC_003296_i4b,17,23416,24054,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00017,NC_003296_i4b_17
NC_003296_i4b,18,24085,27408,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00018,NC_003296_i4b_18
NC_003296_i4b,19,27677,28357,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00019,NC_003296_i4b_19
NC_003296_i4b,20,28362,29120,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00020,NC_003296_i4b_20
NC_003296_i4b,21,29117,30460,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00021,NC_003296_i4b_21
NC_003296_i4b,22,30594,31673,TssA,forward,1,NC_003296_i4b,LKCFCGBD_00022,NC_003296_i4b_22
NC_003296_i4b,23,31746,32714,Non-model,reverse,-1,NC_003296_i4b,LKCFCGBD_00023,NC_003296_i4b_23
NC_003296_i4b,24,32813,33646,TssL,reverse,-1,NC_003296_i4b,LKCFCGBD_00024,NC_003296_i4b_24
NC_003296_i4b,25,33649,34635,Non-model,reverse,-1,NC_003296_i4b,LKCFCGBD_00025,NC_003296_i4b_25
NC_003296_i4b,26,34632,38573,TssM,reverse,-1,NC_003296_i4b,LKCFCGBD_00026,NC_003296_i4b_26
NC_003296_i4b,27,38611,40098,Non-model,reverse,-1,NC_003296_i4b,LKCFCGBD_00027,NC_003296_i4b_27
NC_003296_i4b,28,40109,40378,Non-model,reverse,-1,NC_003296_i4b,LKCFCGBD_00028,NC_003296_i4b_28
NC_003296_i4b,29,40418,41266,Non-model,reverse,-1,NC_003296_i4b,LKCFCGBD_00029,NC_003296_i4b_29
NC_003296_i4b,30,41553,42299,Non-model,forward,1,NC_003296_i4b,LKCFCGBD_00030,NC_003296_i4b_30
NC_003296_i4b,31,42437,45457,TssI,forward,1,NC_003296_i4b,LKCFCGBD_00031,NC_003296_i4b_31
NC_004129_i3,1,1,3507,TssM,reverse,-1,NC_004129_i3,INEFMLHM_00006,NC_004129_i3_6
NC_004129_i3,2,3504,4829,TssL,reverse,-1,NC_004129_i3,INEFMLHM_00007,NC_004129_i3_7
NC_004129_i3,3,4836,6170,TssK,reverse,-1,NC_004129_i3,INEFMLHM_00008,NC_004129_i3_8
NC_004129_i3,4,6186,6692,TssJ,reverse,-1,NC_004129_i3,INEFMLHM_00009,NC_004129_i3_9
NC_004129_i3,5,6757,8241,Non-model,reverse,-1,NC_004129_i3,INEFMLHM_00010,NC_004129_i3_10
NC_004129_i3,6,8646,9653,TssA,forward,1,NC_004129_i3,INEFMLHM_00011,NC_004129_i3_11
NC_004129_i3,7,9735,10250,TssB,forward,1,NC_004129_i3,INEFMLHM_00012,NC_004129_i3_12
NC_004129_i3,8,10267,11760,TssC,forward,1,NC_004129_i3,INEFMLHM_00013,NC_004129_i3_13
NC_004129_i3,9,11879,12367,TssD,forward,1,NC_004129_i3,INEFMLHM_00014,NC_004129_i3_14
NC_004129_i3,10,12528,13043,TssE,forward,1,NC_004129_i3,INEFMLHM_00015,NC_004129_i3_15
NC_004129_i3,11,13040,14899,TssF,forward,1,NC_004129_i3,INEFMLHM_00016,NC_004129_i3_16
NC_004129_i3,12,14863,15915,TssG,forward,1,NC_004129_i3,INEFMLHM_00017,NC_004129_i3_17
NC_004129_i3,13,15908,18583,TssH,forward,1,NC_004129_i3,INEFMLHM_00018,NC_004129_i3_18
NC_004129_i3,14,18714,20651,TssI,forward,1,NC_004129_i3,INEFMLHM_00019,NC_004129_i3_19
NC_004431_i2,1,1,501,TssB,forward,1,NC_004431_i2,NPKEHBPN_00009,NC_004431_i2_6
NC_004431_i2,2,560,2098,TssC,forward,1,NC_004431_i2,NPKEHBPN_00010,NC_004431_i2_7
NC_004431_i2,3,2118,3455,TssK,forward,1,NC_004431_i2,NPKEHBPN_00011,NC_004431_i2_8
NC_004431_i2,4,3452,4117,TssL,forward,1,NC_004431_i2,NPKEHBPN_00012,NC_004431_i2_9
NC_004431_i2,5,4130,5782,TssL,forward,1,NC_004431_i2,NPKEHBPN_00013,NC_004431_i2_10
NC_004431_i2,6,5840,6331,TssD,forward,1,NC_004431_i2,NPKEHBPN_00014,NC_004431_i2_11
NC_004431_i2,7,6523,9159,TssH,forward,1,NC_004431_i2,NPKEHBPN_00015,NC_004431_i2_12
NC_004431_i2,8,9171,11633,TssI,forward,1,NC_004431_i2,NPKEHBPN_00016,NC_004431_i2_13
NC_004431_i2,9,11648,12472,Non-model,forward,1,NC_004431_i2,NPKEHBPN_00017,NC_004431_i2_14
NC_004431_i2,10,12469,14445,Non-model,forward,1,NC_004431_i2,NPKEHBPN_00018,NC_004431_i2_15
NC_004431_i2,11,14467,14727,Non-model,forward,1,NC_004431_i2,NPKEHBPN_00019,NC_004431_i2_16
NC_004431_i2,12,14727,16160,Non-model,forward,1,NC_004431_i2,NPKEHBPN_00020,NC_004431_i2_17
NC_004431_i2,13,16167,19505,TssM,forward,1,NC_004431_i2,NPKEHBPN_00021,NC_004431_i2_18
NC_004431_i2,14,19483,21108,TssA,forward,1,NC_004431_i2,NPKEHBPN_00022,NC_004431_i2_19
NC_004431_i2,15,21142,23943,TssG,forward,1,NC_004431_i2,NPKEHBPN_00023,NC_004431_i2_20
NC_004431_i2,16,23924,24460,TssJ,forward,1,NC_004431_i2,NPKEHBPN_00024,NC_004431_i2_21
NC_004431_i2,17,24464,24892,TssE,forward,1,NC_004431_i2,NPKEHBPN_00025,NC_004431_i2_22
NC_004431_i2,18,24892,26268,TssA,forward,1,NC_004431_i2,NPKEHBPN_00026,NC_004431_i2_23
NC_004547_i1,1,184,702,TssD,reverse,-1,NC_004547_i1,JDOBJMIH_00008,NC_004547_i1_8
NC_004547_i1,2,1268,2620,Non-model,reverse,-1,NC_004547_i1,JDOBJMIH_00009,NC_004547_i1_9
NC_004547_i1,3,2652,4088,TssA,reverse,-1,NC_004547_i1,JDOBJMIH_00010,NC_004547_i1_10
NC_004547_i1,4,4138,7635,TssM,reverse,-1,NC_004547_i1,JDOBJMIH_00011,NC_004547_i1_11
NC_004547_i1,5,7660,9078,TssA,reverse,-1,NC_004547_i1,JDOBJMIH_00012,NC_004547_i1_12
NC_004547_i1,6,9090,9650,Non-model,reverse,-1,NC_004547_i1,JDOBJMIH_00013,NC_004547_i1_13
NC_004547_i1,7,9650,11203,Non-model,reverse,-1,NC_004547_i1,JDOBJMIH_00014,NC_004547_i1_14
NC_004547_i1,8,11206,13803,TssH,reverse,-1,NC_004547_i1,JDOBJMIH_00015,NC_004547_i1_15
NC_004547_i1,9,13817,14593,TssL,reverse,-1,NC_004547_i1,JDOBJMIH_00016,NC_004547_i1_16
NC_004547_i1,10,14609,15946,TssK,reverse,-1,NC_004547_i1,JDOBJMIH_00017,NC_004547_i1_17
NC_004547_i1,11,15949,16470,TssJ,reverse,-1,NC_004547_i1,JDOBJMIH_00018,NC_004547_i1_18
NC_004547_i1,12,16470,17690,Non-model,reverse,-1,NC_004547_i1,JDOBJMIH_00019,NC_004547_i1_19
NC_004547_i1,13,17693,18691,TssG,reverse,-1,NC_004547_i1,JDOBJMIH_00020,NC_004547_i1_20
NC_004547_i1,14,18655,20421,TssF,reverse,-1,NC_004547_i1,JDOBJMIH_00021,NC_004547_i1_21
NC_004547_i1,15,20424,20855,TssE,reverse,-1,NC_004547_i1,JDOBJMIH_00022,NC_004547_i1_22
NC_004547_i1,16,20861,22339,TssC,reverse,-1,NC_004547_i1,JDOBJMIH_00023,NC_004547_i1_23
NC_004547_i1,17,22371,22874,TssB,reverse,-1,NC_004547_i1,JDOBJMIH_00024,NC_004547_i1_24
NC_004578_i1,1,1,2037,TssI,reverse,-1,NC_004578_i1,JLFEEHOH_00003,NC_004578_i1_3
NC_004578_i1,2,2059,3066,Non-model,reverse,-1,NC_004578_i1,JLFEEHOH_00004,NC_004578_i1_4
NC_004578_i1,3,3063,3791,Non-model,reverse,-1,NC_004578_i1,JLFEEHOH_00005,NC_004578_i1_5
NC_004578_i1,4,3791,7318,TssM,reverse,-1,NC_004578_i1,JLFEEHOH_00006,NC_004578_i1_6
NC_004578_i1,5,7332,8207,TssL,reverse,-1,NC_004578_i1,JLFEEHOH_00007,NC_004578_i1_7
NC_004578_i1,6,8213,9544,TssK,reverse,-1,NC_004578_i1,JLFEEHOH_00008,NC_004578_i1_8
NC_004578_i1,7,9547,10047,TssJ,reverse,-1,NC_004578_i1,JLFEEHOH_00009,NC_004578_i1_9
NC_004578_i1,8,10053,11249,Non-model,reverse,-1,NC_004578_i1,JLFEEHOH_00010,NC_004578_i1_10
